"Transfer Received Date";"From Stock";"To Stock";"Product Code";"Product Name";"Transfer Quantity";"Serial Number";"IMEI Number";"Transfer Value"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6206C41N18FKB2";"";"None"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6206C7MG18FKBD";"";"None"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-21996";"Battery, iPhone 13 Pro";"1";"F8Y6165C65W13RHC6";"";"89.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6206C43C18FKB6";"";"89.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y6211C1LU18FKBC";"";"89.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-30382";"Battery, iPhone 14 Pro";"1";"F8Y6162C5Y9217WBT";"";"99.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-35694";"Battery, iPhone 15 Pro";"1";"F8YHTAD05AU00006TP";"";"None"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-35694";"Battery, iPhone 15 Pro";"1";"F8YHTAD025200006TP";"";"99.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-44954";"Battery, iPhone 16 Pro Max";"1";"F8YHQ5H09S90000UMK";"";"119.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-22294";"Battery, iPhone 13 Pro Max";"1";"F8Y6195C2RJ13XCBB";"";"89.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-56050";"Display, iPhone 17 Pro Max";"1";"GH3HS8005950000MUZ";"";"379.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-44955";"Display, iPhone 16 Pro Max";"1";"G9PHJ4U0V9X00005DR";"";"379.00"
"2026-07-01";"DC_MSPI-Owned";"GL5_MSPI-Owned";"661-42726";"Display, iPhone 16 Pro";"1";"G9PHRBT23QZ00005DP";"";"329.00"
"2026-07-01";"DC_MSPI-Owned";"GB3-MSPI-Owned";"661-30394";"Battery, iPhone 14 Plus";"1";"F8Y6233C4GL237KBD";"";"99.00"
