id,date,method,pathname,status,timestamp,level,event_message,log_type,log_count,logs,auth_user
696d2e04-8889-4951-ab2e-a85a53bd8581,"""2026-09-17T08:55:55.342Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:55.342000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
484e68b7-c071-43c8-adfe-a4d391906656,"""2026-09-17T08:55:55.086Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:55.086000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
1eed10ee-d6ec-423b-be74-47905f5f8ce8,"""2026-09-17T08:55:54.936Z""",GET,/rest/v1/profiles,200,2026-09-17T08:55:54.936000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/profiles?select=id%2Cemail%2Cfull_name%2Crole%2Crole_position%2Csite_id%2Chas_set_password%2Cis_active%2Cis_deleted%2Ccreated_at%2Cupdated_at&order=created_at.asc | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
929088f1-8c30-4103-8b05-746eb873714f,"""2026-09-17T08:55:54.760Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:54.760000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
47809208-ed93-4b5f-b8e0-b0f3b2f99062,"""2026-09-17T08:55:54.525Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:54.525000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
755760bd-57aa-45cb-b173-b025a7efdd7c,"""2026-09-17T08:55:54.373Z""",GET,/rest/v1/profiles,200,2026-09-17T08:55:54.373000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/profiles?select=id%2Cemail%2Cfull_name%2Crole%2Crole_position%2Csite_id%2Chas_set_password%2Cis_active%2Cis_deleted%2Ccreated_at%2Cupdated_at&order=created_at.asc | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
f9a34b0b-b968-4044-a362-5995928a56c7,"""2026-09-17T08:55:54.234Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:54.234000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
5e91d1c3-80ac-4043-836e-f63021e553d4,"""2026-09-17T08:55:54.007Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:54.007000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
271b04a6-4b86-41ab-a9f1-bd9cf2c98473,"""2026-09-17T08:55:53.867Z""",GET,/rest/v1/profiles,200,2026-09-17T08:55:53.867000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/profiles?select=id%2Cemail%2Cfull_name%2Crole%2Crole_position%2Csite_id%2Chas_set_password%2Cis_active%2Cis_deleted%2Ccreated_at%2Cupdated_at&order=created_at.asc | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
9c3adb49-00bc-4187-8c72-67730358af40,"""2026-09-17T08:55:53.723Z""",GET,/rest/v1/saved_records,200,2026-09-17T08:55:53.723000,success,"GET | 200 | https://wjikbnbdkxmesvvzbams.supabase.co/rest/v1/saved_records?select=snapshot_data&id=eq.master_users_registry | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",edge,null,[],null
